Mes;Ponto;Registros;Inicio;Fim;kWh fornecido;kWh recebido;Vln a medio;Vln b medio;Vln c medio;Ia medio;Ib medio;Ic medio
Fev/25;SE S2;8064;2025-02-01 00:05:00;2025-03-01;6550446,717;2,13681;19503,919944640376;19526,17320329861;19581,831885426585;206,20807438492062;208,27341668030752;208,30958132936507
Fev/25;SE S3;8047;2025-02-01 00:05:00;2025-03-01;1336242,3970299999;0,24034999999999995;19921,37092094818;19890,711141381882;19902,580329869517;37,15377748726234;35,76878468746117;35,635941266310425
Fev/25;SE S4;8064;2025-02-01 00:05:00;2025-03-01;5295336,0;0,0;;;;;;
Out/25;SE S2;8928;2025-10-01 00:05:00;2025-11-01;6327317,6788;10,694109999999998;19716,53636535058;19689,023495887097;19757,20316674619;184,2337064325717;186,87385473006273;186,2282976187276
Out/25;SE S3;8928;2025-10-01 00:05:00;2025-11-01;1518064,8708499998;0,00464;19836,562049495966;19885,25634413306;19858,11076924059;36,095545703405016;35,17499541666666;35,07688060483871
Out/25;SE S4;8928;2025-10-01 00:05:00;2025-11-01;7191360,0;0,0;;;;;;
